date,amount,category
2023-01-03,950,housing
2023-01-06,65,groceries
2023-01-13,70,groceries
2023-01-20,60,groceries
2023-01-25,45,transport
2023-01-28,40,energy

2023-02-03,950,housing
2023-02-07,68,groceries
2023-02-14,72,groceries
2023-02-21,63,groceries
2023-02-24,48,transport
2023-02-27,42,energy

2023-03-03,950,housing
2023-03-07,70,groceries
2023-03-14,74,groceries
2023-03-21,66,groceries
2023-03-25,50,transport
2023-03-28,44,energy

2023-04-03,950,housing
2023-04-07,72,groceries
2023-04-14,75,groceries
2023-04-21,68,groceries
2023-04-25,52,transport
2023-04-28,45,energy

2023-05-03,950,housing
2023-05-06,74,groceries
2023-05-13,76,groceries
2023-05-20,70,groceries
2023-05-24,54,transport
2023-05-27,47,energy

2023-06-03,950,housing
2023-06-07,75,groceries
2023-06-14,78,groceries
2023-06-21,72,groceries
2023-06-25,55,transport
2023-06-28,48,energy

2023-07-03,950,housing
2023-07-07,76,groceries
2023-07-14,79,groceries
2023-07-21,73,groceries
2023-07-25,56,transport
2023-07-28,49,energy

2023-08-03,950,housing
2023-08-07,77,groceries
2023-08-14,80,groceries
2023-08-21,74,groceries
2023-08-25,57,transport
2023-08-28,50,energy

2023-09-03,950,housing
2023-09-07,78,groceries
2023-09-14,81,groceries
2023-09-21,75,groceries
2023-09-25,58,transport
2023-09-28,51,energy

2023-10-03,950,housing
2023-10-07,79,groceries
2023-10-14,82,groceries
2023-10-21,76,groceries
2023-10-25,59,transport
2023-10-28,52,energy

2023-11-03,950,housing
2023-11-07,80,groceries
2023-11-14,83,groceries
2023-11-21,77,groceries
2023-11-25,60,transport
2023-11-28,53,energy

2023-12-03,950,housing
2023-12-07,82,groceries
2023-12-14,85,groceries
2023-12-21,78,groceries
2023-12-25,62,transport
2023-12-28,55,energy
