Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,192.619,196.597,204.731,203.715,214.330,220.861,219.852,213.248,201.641,194.501,189.267,183.378
2016,180.171,172.061,179.017,185.652,192.673,200.035,195.940,193.524,195.852,194.786,191.402,193.306
2017,199.608,198.195,198.597,202.869,203.132,204.646,202.554,205.894,215.711,207.290,209.383,206.598
2018,210.663,213.519,212.554,218.830,226.810,229.137,227.107,226.939,226.165,225.757,215.910,205.905
2019,200.563,202.740,211.724,222.499,225.773,221.373,222.492,216.978,215.418,216.351,214.636,212.982
2020,213.043,208.354,199.573,183.081,183.076,193.379,197.665,197.362,198.858,196.458,194.388,198.155
2021,205.273,213.277,225.861,229.116,235.339,240.720,244.800,246.639,248.228,255.338,259.100,256.207
2022,260.653,267.771,298.246,298.469,316.761,340.917,325.407,305.372,297.343,300.359,292.953,274.937
2023,283.330,281.673,279.084,283.352,279.816,283.854,284.828,294.328,296.004,286.754,277.029,269.375
2024,270.420,276.331,285.002,290.760,290.139,286.675,287.868,282.614,275.740,272.807,268.213,267.963
