Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,243.123,242.906,241.588,241.305,241.019,241.494,241.993,242.746,243.432,243.779,242.240,241.375
2016,242.017,242.062,240.329,240.635,239.354,238.430,238.207,238.088,238.120,238.145,236.930,236.464
2017,237.365,237.918,238.256,238.817,238.964,238.300,238.953,238.843,239.128,239.543,238.403,238.579
2018,239.828,239.190,239.158,240.129,239.287,239.158,239.820,240.015,240.125,239.882,239.352,239.989
2019,241.381,242.057,242.555,241.878,242.145,241.407,241.359,241.153,241.543,242.340,241.726,241.750
2020,243.110,244.054,245.163,251.717,253.827,255.042,252.563,252.352,251.369,251.937,250.407,251.253
2021,252.107,252.716,253.231,254.760,255.516,257.412,259.022,259.825,262.695,265.478,266.384,267.555
2022,270.711,274.568,278.612,282.161,285.953,288.884,292.972,295.007,296.771,298.401,298.284,299.089
2023,301.435,302.483,301.918,302.328,302.535,302.335,303.455,303.716,303.925,304.788,303.224,303.005
2024,305.037,305.469,305.426,305.707,305.679,305.752,306.643,306.402,307.767,308.200,307.972,308.380
