Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,274.589,275.390,276.360,276.978,277.563,278.461,279.559,280.093,280.814,281.499,281.932,282.394
2016,283.498,284.435,285.196,285.836,286.924,288.069,288.780,289.605,290.445,291.407,291.953,292.612
2017,293.560,294.444,295.044,295.706,296.503,297.446,297.919,299.157,299.844,300.846,301.185,301.985
2018,302.928,303.653,304.847,305.716,306.913,307.521,308.393,309.296,309.702,310.382,310.950,311.652
2019,312.696,313.880,315.135,316.263,317.188,318.300,319.136,319.679,320.569,320.762,321.267,321.766
2020,323.053,324.254,324.615,324.522,325.265,325.814,326.580,326.997,327.116,327.273,327.435,327.702
2021,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241
2022,342.604,344.607,346.618,348.389,350.580,352.967,354.935,357.264,359.704,362.093,364.195,366.868
2023,369.585,372.510,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433
2024,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.250,407.242
