Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,190.871,193.944,199.363,200.245,206.386,208.012,207.218,203.377,197.593,195.858,194.404,191.528
2016,190.162,187.345,191.257,195.491,198.613,200.262,197.145,195.198,195.402,196.185,195.411,196.252
2017,199.292,199.147,200.091,202.389,202.212,201.263,199.466,200.652,204.775,202.457,204.014,203.023
2018,205.338,207.359,207.845,210.734,214.125,214.679,214.039,213.482,212.414,213.482,209.924,204.541
2019,202.570,204.236,208.836,214.142,215.391,213.073,213.405,211.084,209.350,210.487,209.763,208.482
2020,208.284,207.772,203.854,193.732,191.419,195.609,200.766,202.386,202.715,203.086,202.828,203.560
2021,205.631,209.054,215.761,222.547,229.689,237.701,239.722,238.333,236.373,241.042,245.532,246.499
2022,248.424,253.150,264.525,266.892,274.282,284.644,278.958,270.334,266.109,267.979,264.668,255.993
2023,257.874,259.712,261.969,267.402,268.862,270.146,270.602,274.220,272.517,270.027,267.035,263.375
2024,262.110,266.638,272.485,276.687,276.623,273.579,273.326,271.391,269.604,269.724,268.450,267.606
2025,270.384,271.040,270.061,272.503,272.946,273.391,273.452,273.910,274.301,-(X),272.615,268.630
